Company Name,Company Ticker,Name,Age,Position,Appointed,
Cellular Biomedicine Group Inc,CBMG.O,Yihong Yao,51,Chief Scientific Officer,2015,
CEL-SCI Corporation,CVM,Bruno Jean-Marie Baillavoine,65,Independent Director,2015,
CEL-SCI Corporation,CVM,Daniel H. Zimmerman,78,"Senior Vice President - Research, Cellular Immunology",2009,
CEL-SCI Corporation,CVM,Eyal Talor,63,Chief Scientific Officer,2009,
CEL-SCI Corporation,CVM,Geert R. Kersten,60,"Chief Executive Officer, Treasurer, Director",1995,
CEL-SCI Corporation,CVM,John Cipriano,77,Senior Vice President - Regulatory Affairs,2009,
CEL-SCI Corporation,CVM,Patricia B. Prichep,68,"Senior Vice President - Operations, Corporate Secretary",2000,
CEL-SCI Corporation,CVM,Peter R. Young,74,Independent Director,2002,
CEL-SCI Corporation,CVM,Robert Eugene Watson,61,Independent Director,2017,
"Celsius Holdings, Inc.",CELH.O,Edwin F. Negron-Carballo,57,Chief Financial Officer,2018,
"Celsius Holdings, Inc.",CELH.O,Hal Kravitz,61,Independent Director,2017,
"Celsius Holdings, Inc.",CELH.O,John Fieldly,39,"President, Chief Executive Officer, Director",2018,
"Celsius Holdings, Inc.",CELH.O,Kevin F. Harrington,62,Independent Director,2013,
"Celsius Holdings, Inc.",CELH.O,Matt Kahn,,Executive Vice President - Marketing,2018,
"Celsius Holdings, Inc.",CELH.O,Nicholas Castaldo,67,Independent Director,2013,
"Celsius Holdings, Inc.",CELH.O,Regan Ebert,53,Director,2019,
"Celsius Holdings, Inc.",CELH.O,Thomas E. Lynch,70,Independent Director,2009,
"Celsius Holdings, Inc.",CELH.O,Tony Lau,30,Co-Chairman of the Board,2018,
"Celsius Holdings, Inc.",CELH.O,William H. Milmoe,70,"Independent Co-Chairman, Director",2017,
Centene Corp,CNC,Brandy Burkhalter,46,Executive Vice President - Operations,2018,
Centene Corp,CNC,Brent Layton,,Executive Vice President and Chief Development Officer,2019,
Centene Corp,CNC,Christopher R. Isaak,52,"Senior Vice President, Corporate Controller and Chief Accounting Officer",2016,
Centene Corp,CNC,David L. Steward,67,Independent Director,2003,
Centene Corp,CNC,David P Thomas,,Executive Vice President - Marketing,2019,
Centene Corp,CNC,Edmund E. Kroll,61,Senior Vice President - Finance and Investor Relations,2007,
Centene Corp,CNC,Frederick H. Eppinger,59,Independent Director,2006,
Centene Corp,CNC,James Dallas,,Director,2020,
Centene Corp,CNC,Jeffrey A. Schwaneke,43,"Chief Financial Officer, Executive Vice President, Treasurer",2016,
Centene Corp,CNC,Jesse N. Hunter,43,Executive Vice President and Chief Strategy Officer,2017,
Centene Corp,CNC,Jessica L. Blume,64,Independent Director,2018,
Centene Corp,CNC,John R. Roberts,77,Independent Director,2004,
Centene Corp,CNC,Keith H. Williamson,66,"Executive Vice President, General Counsel, Secretary",2012,
Centene Corp,CNC,Lori J. Robinson,,Director,2019,
Centene Corp,CNC,Mark J. Brooks,49,"Executive Vice President, Chief Information Officer",2017,
Centene Corp,CNC,Michael F. Neidorff,,"Chairman of the Board, President, Chief Executive Officer",2019,
Centene Corp,CNC,Orlando Ayala,62,Independent Director,2011,
Centene Corp,CNC,Patrick J. Frawley,,Senior Vice President - Social Responsibility,2019,
Centene Corp,CNC,Richard A. Gephardt,78,Independent Director,2006,
Centene Corp,CNC,Robert K. Ditmore,83,Presiding Independent Director,1996,
Centene Corp,CNC,Tommy G. Thompson,77,Independent Director,2005,
Centene Corp,CNC,William L. Trubeck,72,Director,2020,
Centennial Resource Development Inc,CDEV.O,Brent P. Jensen,49,"Chief Accounting Officer, Vice President",2017,
Centennial Resource Development Inc,CDEV.O,David M. Leuschen,67,Director,2016,
Centennial Resource Development Inc,CDEV.O,Davis O. O Connor,64,"Vice President, General Counsel",2016,
Centennial Resource Development Inc,CDEV.O,George S. Glyphis,49,Chief Financial Officer,2016,
Centennial Resource Development Inc,CDEV.O,Jeffrey H. Tepper,53,Independent Director,2016,
Centennial Resource Development Inc,CDEV.O,Karl E. Bandtel,52,Independent Director,2016,
Centennial Resource Development Inc,CDEV.O,Maire A. Baldwin,53,Lead Independent Director,2018,
Centennial Resource Development Inc,CDEV.O,Mark G. Papa,72,"Chairman of the Board, Chief Executive Officer",2016,
Centennial Resource Development Inc,CDEV.O,Matthew Glover Hyde,63,Independent Director,2018,
Centennial Resource Development Inc,CDEV.O,Pierre F. Lapeyre,56,Director,2016,
Centennial Resource Development Inc,CDEV.O,Robert M. Tichio,41,Director,2016,
Centennial Resource Development Inc,CDEV.O,Sean R. Smith,46,Chief Operating Officer,2016,
Centennial Resource Development Inc,CDEV.O,Steven J. Shapiro,67,Independent Director,2019,
"CenterPoint Energy, Inc.",CNP,Jason Michael Ryan,44,"Senior Vice President, General Counsel",2019,
"CenterPoint Energy, Inc.",CNP,John W. Somerhalder,63,Independent Director,2016,
"CenterPoint Energy, Inc.",CNP,Joseph J. Vortherms,58,Senior Vice President,2017,
"CenterPoint Energy, Inc.",CNP,Kenneth Mercado,,Executive Vice President and President - Electric Division,2020,
"CenterPoint Energy, Inc.",CNP,Leslie Biddle,52,Director,2018,
"CenterPoint Energy, Inc.",CNP,Martin H. Nesbitt,56,Director,2014,
"CenterPoint Energy, Inc.",CNP,Milton S. Carroll,68,Executive Chairman of the Board,2013,
"CenterPoint Energy, Inc.",CNP,Peter S. Wareing,67,Independent Director,2005,
"CenterPoint Energy, Inc.",CNP,Phillip R. Smith,67,Independent Director,2014,
"CenterPoint Energy, Inc.",CNP,Scott Doyle,58,Senior Vice President,2017,
"CenterPoint Energy, Inc.",CNP,Scott J. McLean,62,Independent Director,2013,
"CenterPoint Energy, Inc.",CNP,Scott M. Prochazka,53,"President, Chief Executive Officer, Director",2014,
"CenterPoint Energy, Inc.",CNP,Sue B. Ortenstone,62,"Chief Human Resource Officer, Senior Vice President",2014,
"CenterPoint Energy, Inc.",CNP,Susan O. Rheney,59,Independent Director,2008,
"CenterPoint Energy, Inc.",CNP,Theodore F. Pound,64,Independent Director,2015,
"CenterPoint Energy, Inc.",CNP,William D. Rogers,58,"Chief Financial Officer, Executive Vice President",2015,
"CenterPoint Energy, Inc.",CNP,Xia Liu,50,"Chief Financial Officer, Executive Vice President",2019,
Centerstate Bank Corp,CSFL.O,Beth S. DeSimone,59,"Executive Vice President, Chief Risk Officer, General Counsel",2018,
Centerstate Bank Corp,CSFL.O,Brett Rawls,46,"Executive Vice President, Chief Administrative Officer",2018,
Centerstate Bank Corp,CSFL.O,Charles Dennis Carlton,66,Independent Director,2008,
Centerstate Bank Corp,CSFL.O,Charles W. McPherson,71,"Vice Chairman of the Board, Lead Independent Director",2018,
Centerstate Bank Corp,CSFL.O,Daniel E. Bockhorst,55,"Executive Vice President, Chief Credit Officer",2017,
Centerstate Bank Corp,CSFL.O,Daniel R. Richey,60,Independent Director,2014,
Centerstate Bank Corp,CSFL.O,David G. Salyers,60,Independent Director,2017,
Centerstate Bank Corp,CSFL.O,Ernest S. Pinner,71,Non-Executive Chairman of the Board,2020,
Centerstate Bank Corp,CSFL.O,G. Ruffner Page,59,Director,2019,
Centerstate Bank Corp,CSFL.O,George Tierso Nunez,65,Independent Director,2004,
Centerstate Bank Corp,CSFL.O,Griffin A. Greene,60,Independent Director,2012,
Centerstate Bank Corp,CSFL.O,James H. Bingham,70,Independent Director,1999,
Centerstate Bank Corp,CSFL.O,Jennifer L. Idell,44,"Executive Vice President, Chief Administrative Officer",2019,
Centerstate Bank Corp,CSFL.O,Jody Jean Dreyer,57,Independent Director,2018,
Centerstate Bank Corp,CSFL.O,John C. Corbett,50,"President, Chief Executive Officer, Director",2015,
Centerstate Bank Corp,CSFL.O,John H. Holcomb,67,Director,2019,
Centerstate Bank Corp,CSFL.O,Joshua A. Snively,54,Independent Director,2012,
Centerstate Bank Corp,CSFL.O,Mark Wilson Thompson,55,"President - CenterState Bank, NA., Director",2018,
Centerstate Bank Corp,CSFL.O,Michael F. Ciferri,69,Independent Director,2014,
Centerstate Bank Corp,CSFL.O,Michael J. Brown,78,Independent Director,2018,
Centerstate Bank Corp,CSFL.O,Richard Murray,56,Director,2019,
Centerstate Bank Corp,CSFL.O,Stephen Dean Young,43,"Chief Operating Officer, Executive Vice President",2017,
Centerstate Bank Corp,CSFL.O,Thomas E. Oakley,76,Independent Director,2002,
Centerstate Bank Corp,CSFL.O,William E. Matthews,54,Chief Financial Officer,2019,
Centerstate Bank Corp,CSFL.O,William Knox Pou,62,Independent Director,2012,
Central European Media Enterprises Ltd.,CETV.O,Alfred W. Langer,68,Independent Director,2000,
Central European Media Enterprises Ltd.,CETV.O,Christoph Benedict Mainusch,56,Co-Chief Executive Officer,2013,
Central European Media Enterprises Ltd.,CETV.O,Daniel Penn,53,"Executive Vice President, General Counsel, Secretary",2010,
Central European Media Enterprises Ltd.,CETV.O,David Sturgeon,48,"Chief Financial Officer, Executive Vice President",2014,
Central European Media Enterprises Ltd.,CETV.O,John K. Billock,70,Non-Executive Independent Chairman of the Board,2014,
Central European Media Enterprises Ltd.,CETV.O,Kelli Turner,48,Independent Director,2011,
Central European Media Enterprises Ltd.,CETV.O,Michael Del Nin,48,Co-Chief Executive Officer,2013,
Central European Media Enterprises Ltd.,CETV.O,Parm Sandhu,50,Independent Director,2009,
Central European Media Enterprises Ltd.,CETV.O,Peter H Knag,,Director,2019,
Central European Media Enterprises Ltd.,CETV.O,Theodore McKinley Turner,48,Independent Director,2018,
Central Garden & Pet Co,CENT.O,Brooks M. Pennington,65,Director,2019,
Central Garden & Pet Co,CENT.O,Christopher T. Metz,54,Independent Director,2019,
Central Garden & Pet Co,CENT.O,George A. Yuhas,67,"General Counsel, Secretary",2015,
Central Garden & Pet Co,CENT.O,John B. Balousek,74,Lead Independent Director,2016,
Central Garden & Pet Co,CENT.O,John R. Ranelli,73,Independent Director,2018,
Central Garden & Pet Co,CENT.O,Kay M. Schwichtenberg,66,Executive Vice President,2017,
Central Garden & Pet Co,CENT.O,Mary Beth Springer,55,Independent Director,2013,
Central Garden & Pet Co,CENT.O,Michael J. Edwards,59,Independent Director,2017,
Central Garden & Pet Co,CENT.O,Michael J. Griffith,62,Independent Director,2019,
Central Garden & Pet Co,CENT.O,Nicholas Lahanas,51,Chief Financial Officer,2017,
Central Garden & Pet Co,CENT.O,Thomas J. Colligan,75,Independent Director,2015,
Central Garden & Pet Co,CENT.O,Timothy P. Cofer,51,"Chief Executive Officer, Director",2019,
Central Garden & Pet Co,CENT.O,William E. Brown,78,Chairman of the Board,2019,
Central Garden & Pet Co,CENT.O,William Lawrence Lynch,59,Senior Vice President - Operations,2016,
Central Garden & Pet Co,CENTA.O,Brooks M. Pennington,65,Director,2019,
Central Garden & Pet Co,CENTA.O,Christopher T. Metz,54,Independent Director,2019,
Central Garden & Pet Co,CENTA.O,George A. Yuhas,67,"General Counsel, Secretary",2015,
Central Garden & Pet Co,CENTA.O,John B. Balousek,74,Lead Independent Director,2016,
Central Garden & Pet Co,CENTA.O,John R. Ranelli,73,Independent Director,2018,
Central Garden & Pet Co,CENTA.O,Kay M. Schwichtenberg,66,Executive Vice President,2017,
Central Garden & Pet Co,CENTA.O,Mary Beth Springer,55,Independent Director,2013,
Central Garden & Pet Co,CENTA.O,Michael J. Edwards,59,Independent Director,2017,
Central Garden & Pet Co,CENTA.O,Michael J. Griffith,62,Independent Director,2019,
Central Garden & Pet Co,CENTA.O,Nicholas Lahanas,51,Chief Financial Officer,2017,
Central Garden & Pet Co,CENTA.O,Thomas J. Colligan,75,Independent Director,2015,
Central Garden & Pet Co,CENTA.O,Timothy P. Cofer,51,"Chief Executive Officer, Director",2019,
Central Garden & Pet Co,CENTA.O,William E. Brown,78,Chairman of the Board,2019,
Central Garden & Pet Co,CENTA.O,William Lawrence Lynch,59,Senior Vice President - Operations,2016,
Central Pacific Financial Corp.,CPF,Agnes Catherine Ngo,58,"President, Director of the Company and President and Chief Executive Officer of the Bank",2018,
Central Pacific Financial Corp.,CPF,Arnold D Martines,54,"Executive Vice President, Commercial Markets Division Manager",2016,
Central Pacific Financial Corp.,CPF,Blenn A. Fujimoto,60,"Executive Vice President, Consumer Lending and Wealth Management",2017,
Central Pacific Financial Corp.,CPF,Christine H. H. Camp,52,Independent Director,2004,
Central Pacific Financial Corp.,CPF,Christopher T. Lutes,51,Director,2018,
Central Pacific Financial Corp.,CPF,Colbert M. Matsumoto,66,Independent Director,2004,
Central Pacific Financial Corp.,CPF,Crystal K. Rose,61,Lead Independent Director of the Company and the Bank,2014,
Central Pacific Financial Corp.,CPF,David S. Morimoto,51,"Chief Financial Officer, Executive Vice President, Treasurer",2015,
Central Pacific Financial Corp.,CPF,David William Hudson,60,Executive Vice President - Community Banking Manager of the Company and the Bank,2011,
Central Pacific Financial Corp.,CPF,Duane K. Kurisu,65,Independent Director,2012,
Central Pacific Financial Corp.,CPF,Earl E. Fry,60,Independent Director,2005,
Central Pacific Financial Corp.,CPF,Glenn K C Ching,59,"Executive Vice President, Chief Legal Officer and Division Manager of Risk Management, Corporate Secretary",2016,
Central Pacific Financial Corp.,CPF,John C. Dean,72,Director,2018,
Central Pacific Financial Corp.,CPF,Paul J. Kosasa,61,Independent Director,2002,
Central Pacific Financial Corp.,CPF,Paul K. Yonamine,61,"Chairman of the Board, Chief Executive Officer",2018,
Central Pacific Financial Corp.,CPF,Saedene K. Ota,50,Independent Director,2015,
Central Pacific Financial Corp.,CPF,Wayne K. Kamitaki,67,Independent Director of the Company and the Bank,2015,
Central Valley Community Bancorp,CVCY.O,Blaine Lauhon,56,"Executive Vice President, Market Executive of the Bank",2019,
Central Valley Community Bancorp,CVCY.O,Daniel J. Doyle,72,Independent Chairman of the Board of Company & Bank,2019,
Central Valley Community Bancorp,CVCY.O,Daniel N. Cunningham,82,Lead Independent Director,2015,
Central Valley Community Bancorp,CVCY.O,David A. Kinross,54,"Chief Financial Officer, Executive Vice President, IR Contact Officer",2014,
Central Valley Community Bancorp,CVCY.O,Dorothea D Silva,,Director,2019,
Central Valley Community Bancorp,CVCY.O,Edwin S. Darden,74,Independent Director,2001,
Central Valley Community Bancorp,CVCY.O,Frank T. Elliott,42,Independent Director of Central Valley Community Bank,2013,
Central Valley Community Bancorp,CVCY.O,Gary D. Gall,68,Independent Director,2016,
Central Valley Community Bancorp,CVCY.O,James Kim,43,"Chief Operating Officer, Executive Vice President of the Bank",2019,
Central Valley Community Bancorp,CVCY.O,James M. Ford,60,"President, Chief Executive Officer, Director",2015,
Central Valley Community Bancorp,CVCY.O,Karen Musson,70,Independent Director,2017,
Central Valley Community Bancorp,CVCY.O,Ken Ramos,53,"Executive Vice President, Market Executive of the Bank",2019,
Central Valley Community Bancorp,CVCY.O,Louis C. McMurray,72,Independent Director,2000,
Central Valley Community Bancorp,CVCY.O,Patrick J. Carman,69,"Executive Vice President, Chief Credit Officer",2015,
Central Valley Community Bancorp,CVCY.O,Robert J. Flautt,68,Independent Director,2017,
Central Valley Community Bancorp,CVCY.O,Steven D. McDonald,69,"Secretary, Independent Director of the company and the Bank",,
Central Valley Community Bancorp,CVCY.O,Teresa Gilio,56,"Executive Vice President, Chief Administrative Officer of the Bank",2019,
Central Valley Community Bancorp,CVCY.O,William S. Smittcamp,66,Independent Director,2000,
Centric Brands Inc,CTRC.O,Andrew Tarshis,53,"Executive Vice President, General Counsel",2019,
Centric Brands Inc,CTRC.O,Anurup Pruthi,50,Chief Financial Officer,2019,
Centric Brands Inc,CTRC.O,Glenn J. Krevlin,59,Independent Director,2018,
Centric Brands Inc,CTRC.O,Jason Andrew Rabin,49,"Chief Executive Officer, Director",2018,
Centric Brands Inc,CTRC.O,Kent A. Savage,57,Independent Director,2003,
Centric Brands Inc,CTRC.O,Laura Ritchey,,Chief Operating Officer,2020,
Centric Brands Inc,CTRC.O,Matthew Eby,47,Independent Director,2016,
Centric Brands Inc,CTRC.O,Pamela Alabaster,,Chief Marketing Officer,2019,
Centric Brands Inc,CTRC.O,Randall Kessler,37,Independent Director,2018,
Centric Brands Inc,CTRC.O,Robert Petrini,44,Independent Director,2018,
Centric Brands Inc,CTRC.O,Walter Field McLallen,54,Independent Director,2016,
Centric Brands Inc,CTRC.O,William Sweedler,52,Independent Chairman of the Board,2017,
Century Aluminum Co,CENX.O,Andrew Gordon Michelmore,66,Non-Executive Chairman of the Board,2018,
Century Aluminum Co,CENX.O,Craig C. Conti,41,"Chief Financial Officer, Executive Vice President",2018,
Century Aluminum Co,CENX.O,Errol Glasser,65,Independent Director,2014,
Century Aluminum Co,CENX.O,Jarl Berntzen,52,Independent Director,2006,
Century Aluminum Co,CENX.O,Jesse E. Gary,39,"Chief Operating Officer, Executive Vice President, General Counsel",2019,
Century Aluminum Co,CENX.O,John Edward Hoerner,61,Executive Vice President - North American Operations,2016,
Century Aluminum Co,CENX.O,Michael A. Bless,53,"President, Chief Executive Officer, Director",2012,
Century Aluminum Co,CENX.O,Michelle M. Harrison,43,"Senior Vice President - Finance, Treasurer",2013,
Century Aluminum Co,CENX.O,Morgan Walbridge,,Deputy General Counsel,2019,
Century Aluminum Co,CENX.O,Wilhelm van Jaarsveld,34,Independent Director,2017,
"Century Bancorp, Inc.",CNBKA.O,Barry R. Sloane,63,"President, Chief Executive Officer, Director Century Bancorp, Inc; Director, President, Chief Executive Officer of Century Bank and Trust Company",2010,
"Century Bancorp, Inc.",CNBKA.O,Brian J. Feeney,58,Executive Vice President of Century Bank and Trust Company,2006,
"Century Bancorp, Inc.",CNBKA.O,David B. Woonton,63,Executive Vice President of Century Bank and Trust Company,,
"Century Bancorp, Inc.",CNBKA.O,Fraser Lemley,78,Independent Director,1996,
"Century Bancorp, Inc.",CNBKA.O,George F. Swansburg,76,Director,1999,
"Century Bancorp, Inc.",CNBKA.O,George R. Baldwin,75,Independent Director,1996,
"Century Bancorp, Inc.",CNBKA.O,Jackie Jenkins-Scott,69,Independent Director,2006,
"Century Bancorp, Inc.",CNBKA.O,Jo Ann Simons,65,Independent Director,2016,
"Century Bancorp, Inc.",CNBKA.O,Joseph J. Senna,79,Independent Director,1986,
